,Unnamed: 0,code,base_price,delta,today_open,today_close,today_high,today_low,tomorrow_open,tomorrow_close,tomorrow_high,tomorrow_low,buy_flag
1,2478,002691,13.411,0.13384100794792175,10.27901554107666,10.380895614624023,10.825244903564453,9.933631896972656,10.97177791595459,11.051386833190918,11.263158798217773,10.770938873291016,1
2,461,000735,12.11,0.10313481837511064,15.670872688293455,15.77640438079834,16.422203063964847,15.020956993103027,15.784154891967773,15.94650650024414,16.570140838623047,15.18950366973877,1
3,70,600385,12.92,0.0969722867012024,7.777383327484131,7.847744464874268,8.01861572265625,7.595809459686278,8.196292877197267,8.266853332519531,8.332392692565918,8.083640098571777,1
5,793,603722,49.659,0.09076044708490373,46.4342155456543,46.66425323486328,48.09698486328125,45.0750617980957,47.65984725952149,47.870094299316406,49.16609191894531,46.32979202270508,1
7,1011,300721,34.287,0.08815599977970122,36.80240249633789,37.14738845825195,38.44625473022461,35.53976821899414,36.91311264038086,37.296287536621094,38.672813415527344,35.610897064208984,1
10,489,002225,4.64,0.08633268624544144,4.766430854797363,4.808428287506104,4.95844316482544,4.622056484222412,4.868432998657227,4.886883735656738,5.0210909843444815,4.7451910972595215,1
16,1125,002366,23.73,0.08416318148374557,14.372658729553224,14.495661735534668,14.82432746887207,13.979153633117676,14.685932159423828,14.800833702087402,15.155683517456055,14.315762519836426,1
18,1471,300653,58.03,0.08336739987134932,67.00276184082031,67.4639892578125,69.61837005615234,64.89055633544922,67.55266571044922,68.13238525390625,70.30030822753906,65.49005889892578,1
21,654,002782,14.69,0.08014310896396637,16.65181541442871,16.806495666503903,17.313232421875,16.159610748291016,16.78995704650879,16.92732048034668,17.454692840576172,16.276708602905273,1
23,1028,603507,29.028000000000002,0.08001775294542313,27.23263359069824,27.49185943603516,28.198429107666016,26.487150192260746,27.460166931152344,27.77039337158203,28.60659408569336,26.66242980957031,1
24,2737,002696,13.322000000000001,0.07984424382448196,10.617413520812988,10.723142623901367,10.95370101928711,10.342169761657717,10.77922534942627,10.898283004760742,11.167932510375977,10.50529670715332,1
25,2825,002829,26.16,0.07977356761693953,28.06354713439941,28.249610900878906,29.18722724914551,27.19589233398437,28.336898803710934,28.54513931274414,29.365406036376953,27.5771427154541,1
26,356,002813,32.35,0.07959360629320145,38.32890701293945,38.67854690551758,39.88457489013672,37.15658950805664,38.60243606567383,38.93718338012695,40.114017486572266,37.47251892089844,1
28,181,300731,32.693000000000005,0.07883590459823607,37.64075088500977,37.93488311767578,39.00750350952149,36.5341796875,37.957496643066406,38.29033279418945,39.41438674926758,36.86858749389648,1
33,1758,002213,12.21,0.07773737609386444,11.55705738067627,11.627482414245605,11.846759796142578,11.311742782592773,11.86627960205078,11.956865310668945,12.19108772277832,11.616979598999025,1
34,2583,300554,51.012,0.07757782936096191,32.86913681030273,33.171554565429695,33.69221878051758,32.141510009765625,33.704627990722656,34.038238525390625,34.634979248046875,33.06593704223633,1
37,2281,000860,29.953000000000003,0.07677300274372101,38.06247329711914,38.377044677734375,39.6219482421875,36.89316940307617,38.110931396484375,38.47233963012695,39.72556686401367,36.99586868286133,1
43,1678,600609,4.71,0.07452889531850815,3.919254064559937,3.950957536697388,4.025637626647948,3.830691576004028,4.010632514953613,4.048997402191162,4.1161890029907235,3.931742429733277,1
45,1470,300601,55.801,0.07405216246843338,58.02713012695313,58.41035079956055,59.86564254760742,56.55865478515625,58.75472640991211,59.18939971923828,60.74694442749024,57.22262191772461,1
47,1059,300316,18.889,0.07393161207437515,12.011601448059082,12.106329917907715,12.36618423461914,11.677108764648438,12.141291618347168,12.257420539855955,12.540416717529295,11.8703031539917,1
52,1412,600117,4.61,0.07302111387252808,4.464781761169434,4.493337631225586,4.6235928535461435,4.339219570159912,4.504035472869873,4.53570556640625,4.656074047088623,4.389101505279541,1
53,1415,600282,4.39,0.0728241354227066,4.426906108856201,4.464442253112793,4.5567283630371085,4.3338966369628915,4.516645431518555,4.554741859436035,4.649508476257324,4.4280128479003915,1
55,1770,002488,16.39,0.0722581222653389,11.854626655578613,11.960609436035154,12.172284126281738,11.589200973510742,12.054015159606935,12.167133331298828,12.426614761352539,11.796324729919435,1
56,2037,600246,4.11,0.0720558762550354,3.8716866970062256,3.9123563766479488,4.002105712890625,3.7878594398498535,3.946444034576416,3.9791288375854488,4.0607967376708975,3.87323808670044,1
57,824,000677,3.92,0.07205486297607422,3.281803131103516,3.306050539016724,3.389014482498169,3.189932107925415,3.2996532917022705,3.3312859535217285,3.4197824001312256,3.2140283584594727,1
59,1993,300363,13.182,0.07192633301019669,9.713481903076172,9.81673526763916,9.95603847503662,9.525296211242676,9.934618949890137,10.03489875793457,10.210415840148926,9.743718147277832,1
63,1259,300640,14.921,0.0714377760887146,13.254541397094727,13.394527435302734,13.688434600830078,12.914260864257812,13.354528427124025,13.49626350402832,13.836827278137207,12.986516952514648,1
64,1414,600231,3.63,0.0709293857216835,3.8144359588623047,3.840887546539306,3.9408040046691895,3.716499328613281,3.851215362548828,3.880509853363037,3.9801082611083984,3.7568747997283936,1
66,2391,603800,13.475999999999999,0.07055681198835373,14.930412292480467,15.071474075317385,15.450404167175293,14.588248252868652,15.14649486541748,15.26438045501709,15.617548942565918,14.815503120422365,1
74,338,000971,5.59,0.06933829188346863,3.6964032649993896,3.7254407405853267,3.7865018844604488,3.614590167999268,3.759456396102905,3.790057182312012,3.865219593048096,3.6799123287200928,1
78,1422,601003,6.52,0.06876412779092789,6.9937357902526855,7.040956020355225,7.21008825302124,6.825303077697754,7.054608345031737,7.11078691482544,7.2946391105651855,6.883554458618164,1
83,1290,300623,37.575,0.0679173469543457,33.15138626098633,33.438644409179695,34.19448089599609,32.3470458984375,33.45465850830078,33.763336181640625,34.54397201538086,32.668968200683594,1
84,486,002162,4.12,0.06790623813867569,2.8309943675994877,2.8547143936157227,2.8981311321258545,2.774308443069458,2.8838989734649663,2.9069807529449463,2.9627013206481934,2.826401233673096,1
86,1255,300061,13.93,0.06778086721897125,9.590242385864258,9.651925086975098,9.842718124389648,9.35754108428955,9.718792915344238,9.78329086303711,9.991803169250488,9.502410888671877,1
95,2357,603012,6.81,0.06701621413230896,6.327191352844237,6.384896755218506,6.48903226852417,6.215395450592041,6.472549915313722,6.526857852935791,6.631927967071532,6.373415470123291,1
102,1198,002776,19.3,0.06624677777290344,17.810199737548828,17.996835708618164,18.38772773742676,17.438421249389652,18.161884307861328,18.303709030151367,18.593660354614254,17.891115188598633,1
111,316,600462,4.71,0.06546632200479507,4.277266025543213,4.306274890899658,4.395137310028076,4.181063652038573,4.328513622283936,4.359531879425049,4.454782485961914,4.2350425720214835,1
125,1115,000810,8.32,0.06428854167461395,8.741386413574219,8.801894187927246,9.010530471801758,8.525274276733397,8.779729843139647,8.849588394165039,9.073351860046387,8.563888549804688,1
126,1976,300030,8.3,0.06428002566099167,7.756266117095947,7.821471691131593,7.988839149475098,7.593780994415282,7.867863178253174,7.921604633331299,8.0819091796875,7.723958969116211,1
129,2035,600239,5.006,0.06417494267225267,4.515226364135742,4.543031215667725,4.635234832763672,4.4196391105651855,4.600783824920653,4.635712146759033,4.703269481658936,4.521698474884033,1
132,739,600633,10.28,0.06360518932342529,7.316729545593263,7.377535343170166,7.469738960266112,7.185744285583496,7.46755313873291,7.52959394454956,7.642795085906982,7.343885898590088,1
133,2256,600543,8.99,0.06350617110729218,8.225464820861816,8.293018341064451,8.446443557739258,8.05606746673584,8.305578231811522,8.377775192260742,8.56767749786377,8.119841575622559,1
137,137,000928,5.18,0.06329182535409927,4.919341087341309,4.94740629196167,5.071611881256104,4.80134391784668,4.965166568756104,4.991105079650879,5.10522985458374,4.856184482574463,1
139,585,000155,7.02,0.06316392868757248,5.9954586029052725,6.041725158691406,6.155956745147705,5.870471477508545,6.070010185241699,6.116848945617676,6.241273403167725,5.944145679473878,1
140,3034,300687,32.684,0.06311806291341783,25.09125900268555,25.300352096557614,25.717220306396484,24.604232788085934,25.456239700317386,25.664106369018555,26.15720367431641,24.946430206298828,1
141,1019,600482,23.94,0.06302006542682648,17.410480499267578,17.522436141967773,17.792387008666992,17.098751068115234,17.81901741027832,17.909442901611328,18.176315307617188,17.519601821899414,1
142,2271,603919,16.891,0.06295248866081238,15.737371444702148,15.845227241516113,16.097894668579098,15.49057388305664,16.110868453979492,16.204225540161133,16.465744018554688,15.844968795776367,1
146,2723,000672,9.616,0.06271311640739441,8.788590431213379,8.853941917419434,9.020411491394043,8.606104850769043,8.879133224487305,8.954646110534668,9.14582061767578,8.691113471984862,1
148,2395,603960,28.212,0.0626097247004509,26.942607879638672,27.16649627685547,27.79767799377441,26.29606819152832,27.062597274780273,27.28110122680664,27.94245910644531,26.38567543029785,1
152,912,002562,7.272,0.062348302453756325,5.1729607582092285,5.205337047576903,5.329133987426758,5.0457634925842285,5.204378604888916,5.23002815246582,5.360358238220215,5.071405410766602,1
157,2620,600386,4.89,0.062193267047405236,3.83476996421814,3.86430287361145,3.9147424697875977,3.767301082611084,3.9050607681274414,3.937030792236328,4.001601696014403,3.8407835960388175,1
163,1738,000622,4.28,0.061466824263334274,3.040666341781616,3.0637784004211426,3.1135287284851074,2.9764995574951167,3.071970701217652,3.0966079235076904,3.1594555377960205,3.007201194763184,1
166,2064,600665,3.99,0.061236832290887826,3.455673694610596,3.482879161834717,3.533331871032715,3.3975000381469727,3.526176929473877,3.551843643188477,3.6055521965026855,3.472287893295288,1
168,2250,600197,20.43,0.06115558370947838,22.317752838134766,22.468780517578125,22.95990562438965,21.82808494567871,22.433374404907227,22.60755729675293,23.162994384765625,21.92543029785156,1
169,1036,002255,7.11,0.06109228730201721,5.197895050048828,5.234832763671875,5.30518102645874,5.097611427307129,5.274169921875,5.3170928955078125,5.409036636352539,5.180468559265137,1
173,2431,002204,4.12,0.06093763932585716,3.8701386451721187,3.9019167423248287,3.956400871276856,3.811867713928223,3.9616582393646236,3.9902265071868896,4.044154167175293,3.906928300857544,1
175,582,000061,6.69,0.06085805594921113,5.7792816162109375,5.8258605003356925,5.909870147705077,5.677986145019531,5.85396671295166,5.9051833152771,6.0235371589660645,5.738193988800049,1
178,2618,300012,4.89,0.06076861545443535,5.023964405059815,5.062615871429443,5.160590648651123,4.924225807189941,5.073428153991699,5.1141676902771,5.223464012145996,4.9721035957336435,1
183,1338,002619,4.74,0.06056152656674385,4.202976703643799,4.235392093658446,4.301802158355713,4.125382423400879,4.2581448554992685,4.2940874099731445,4.3752217292785645,4.177446365356444,1
187,1517,600958,11.86,0.060269489884376526,9.324603080749512,9.40408706665039,9.511202812194824,9.181535720825195,9.528979301452637,9.607481002807617,9.734902381896973,9.395870208740234,1
188,2708,600313,2.9,0.060238029807806015,3.1129262447357178,3.133234024047852,3.202742338180542,3.0520827770233154,3.1603467464447017,3.1760768890380864,3.2359342575073238,3.1055843830108643,1
190,86,600673,9.74,0.060182757675647736,10.037246704101562,10.121471405029297,10.332352638244627,9.82699966430664,10.113648414611816,10.193899154663086,10.418416023254396,9.90273666381836,1
194,1030,603806,30.444000000000003,0.060047615319490426,22.72966194152832,22.87139320373535,23.187355041503906,22.344810485839844,23.24171257019043,23.36480140686035,23.68656349182129,22.893760681152344,1
199,1687,600960,6.15,0.05980511754751205,5.47876501083374,5.516504287719727,5.614816665649414,5.370309352874756,5.543257236480713,5.584729671478272,5.691481590270996,5.437822818756104,1
